,Interaction Type,x_vector,y_vector,z_vector,Molecule ID
0,donor,10,27,23,1
1,acceptor,4,25,13,1
2,acceptor,12,23,23,1
3,aromatic,8,27,21,1
4,aromatic,5,21,12,1
5,aromatic,7,21,11,1
6,aromatic,7,18,10,1
7,aromatic,6,16,11,1
8,aromatic,3,17,12,1
9,aromatic,3,19,13,1
10,aromatic,10,27,18,1
11,aromatic,8,26,16,1
12,aromatic,6,25,16,1
13,aromatic,5,25,18,1
14,aromatic,6,26,21,1
15,halogen,6,13,10,1
16,donor,7,23,16,2
17,donor,7,26,19,2
18,donor,3,23,18,2
19,acceptor,7,22,9,2
20,acceptor,11,26,17,2
21,aromatic,11,28,21,2
22,aromatic,13,32,24,2
23,aromatic,13,32,21,2
24,aromatic,12,30,19,2
25,aromatic,10,29,23,2
26,aromatic,11,31,25,2
27,halogen,7,15,14,2
28,basic,7,23,16,2
29,aliphatic_ring,6,21,14,2
30,aliphatic_ring,4,22,12,2
31,aliphatic_ring,7,22,9,2
32,aliphatic_ring,8,19,10,2
33,aliphatic_ring,8,19,13,2
34,donor,5,13,8,3
35,acceptor,8,23,13,3
36,acceptor,7,23,16,3
37,acceptor,4,25,21,3
38,acceptor,2,12,11,3
39,aromatic,6,15,9,3
40,aromatic,4,17,8,3
41,aromatic,5,20,10,3
42,aromatic,7,20,12,3
43,aromatic,8,17,13,3
44,aromatic,8,15,11,3
45,aliphatic_ring,7,23,16,3
46,aliphatic_ring,4,22,17,3
47,aliphatic_ring,3,25,19,3
48,aliphatic_ring,4,25,21,3
49,aliphatic_ring,7,25,21,3
50,aliphatic_ring,8,23,19,3
51,aliphatic_ring,11,24,18,3
52,aliphatic_ring,11,26,16,3
53,aliphatic_ring,10,28,18,3
54,aliphatic_ring,7,28,19,3
55,donor,6,11,13,4
56,acceptor,7,23,13,4
57,acceptor,2,21,9,4
58,acceptor,1,21,13,4
59,acceptor,7,11,8,4
60,aromatic,6,14,13,4
61,aromatic,6,24,16,4
62,aromatic,4,25,16,4
63,aromatic,3,26,19,4
64,aromatic,5,26,21,4
65,aromatic,8,25,20,4
66,aromatic,8,24,18,4
67,aromatic,9,15,13,4
68,aromatic,9,18,13,4
69,aromatic,7,20,13,4
70,aromatic,4,18,12,4
71,aromatic,4,16,12,4
72,basic,2,20,11,4
73,donor,5,19,13,5
74,donor,6,22,18,5
75,acceptor,6,14,11,5
76,acceptor,6,27,14,5
77,acceptor,6,22,18,5
78,aromatic,4,8,6,5
79,aromatic,5,12,9,5
80,aromatic,4,10,5,5
81,aromatic,5,7,8,5
82,aromatic,5,9,10,5
83,aromatic,4,12,6,5
84,basic,5,19,13,5
85,aliphatic_ring,6,14,11,5
86,aliphatic_ring,4,15,13,5
87,aliphatic_ring,3,18,13,5
88,aliphatic_ring,5,19,13,5
89,aliphatic_ring,7,19,10,5
90,aliphatic_ring,8,16,10,5
91,aliphatic_ring,5,22,13,5
92,aliphatic_ring,7,24,12,5
93,aliphatic_ring,6,27,14,5
94,aliphatic_ring,4,26,16,5
95,aliphatic_ring,4,23,16,5
96,donor,9,10,18,6
97,acceptor,8,12,9,6
98,acceptor,7,7,19,6
99,acceptor,10,7,24,6
100,aromatic,7,10,16,6
101,aromatic,5,8,16,6
102,aromatic,4,8,13,6
103,aromatic,5,9,11,6
104,aromatic,7,11,11,6
105,aromatic,8,11,14,6
106,aromatic,10,8,32,6
107,aromatic,10,7,32,6
108,aromatic,10,6,29,6
109,aromatic,10,7,27,6
110,aromatic,10,9,27,6
111,aromatic,9,10,30,6
112,aromatic,7,15,9,6
113,aromatic,6,16,6,6
114,aromatic,5,18,6,6
115,aromatic,5,20,8,6
116,aromatic,6,19,10,6
117,aromatic,7,17,11,6
118,basic,5,20,8,6
119,aliphatic_ring,10,8,23,6
120,aliphatic_ring,9,10,24,6
121,aliphatic_ring,10,7,24,6
122,donor,2,24,13,7
123,donor,7,24,12,7
124,acceptor,2,24,13,7
125,acceptor,7,24,12,7
126,aromatic,4,12,6,7
127,aromatic,4,24,15,7
128,aromatic,3,25,18,7
129,aromatic,5,25,20,7
130,aromatic,7,25,20,7
131,aromatic,8,25,17,7
132,aromatic,6,24,15,7
133,aromatic,5,12,9,7
134,aromatic,5,15,10,7
135,aromatic,4,17,8,7
136,aromatic,4,17,6,7
137,aromatic,4,14,5,7
138,basic,2,24,13,7
139,basic,7,24,12,7
140,aliphatic_ring,4,21,10,7
141,aliphatic_ring,2,21,12,7
142,aliphatic_ring,2,24,13,7
143,aliphatic_ring,7,24,12,7
144,aliphatic_ring,8,21,11,7
145,donor,2,21,13,8
146,acceptor,6,17,10,8
147,aromatic,5,13,8,8
148,aromatic,6,16,8,8
149,aromatic,7,17,6,8
150,aromatic,8,20,8,8
151,aromatic,7,19,11,8
152,aromatic,6,17,10,8
153,aromatic,5,7,14,8
154,aromatic,6,10,14,8
155,aromatic,6,12,12,8
156,aromatic,5,11,10,8
157,aromatic,4,8,9,8
158,aromatic,4,7,11,8
159,aromatic,3,8,7,8
160,aromatic,3,9,5,8
161,aromatic,4,12,5,8
162,basic,2,21,13,8
163,donor,8,10,18,9
164,acceptor,8,12,9,9
165,acceptor,7,7,19,9
166,acceptor,9,7,24,9
167,acceptor,13,3,28,9
168,aromatic,7,10,16,9
169,aromatic,4,8,15,9
170,aromatic,3,8,13,9
171,aromatic,4,9,11,9
172,aromatic,7,11,11,9
173,aromatic,8,11,14,9
174,aromatic,9,8,23,9
175,aromatic,10,7,27,9
176,aromatic,9,7,24,9
177,aromatic,11,10,23,9
178,aromatic,12,9,26,9
179,aromatic,7,15,9,9
180,aromatic,6,16,6,9
181,aromatic,5,18,6,9
182,aromatic,5,20,8,9
183,aromatic,6,19,10,9
184,aromatic,7,17,11,9
185,basic,5,20,8,9
186,acceptor,4,24,15,10
187,acceptor,8,21,14,10
188,aromatic,4,14,7,10
189,aromatic,6,24,17,10
190,aromatic,7,26,19,10
191,aromatic,9,26,20,10
192,aromatic,11,24,19,10
193,aromatic,11,23,17,10
194,aromatic,8,22,16,10
195,aromatic,4,14,10,10
196,aromatic,4,16,11,10
197,aromatic,5,18,10,10
198,aromatic,5,18,7,10
199,aromatic,5,16,6,10
200,aliphatic_ring,6,21,12,10
201,aliphatic_ring,3,22,14,10
202,aliphatic_ring,4,24,15,10
203,aliphatic_ring,8,21,14,10
204,donor,9,9,20,11
205,donor,12,12,25,11
206,acceptor,9,13,11,11
207,acceptor,7,7,20,11
208,acceptor,15,10,23,11
209,acceptor,19,15,27,11
210,aromatic,3,9,13,11
211,aromatic,4,8,16,11
212,aromatic,6,9,16,11
213,aromatic,8,11,15,11
214,aromatic,7,11,12,11
215,aromatic,4,11,11,11
216,aromatic,8,15,9,11
217,aromatic,6,15,7,11
218,aromatic,5,17,6,11
219,aromatic,5,20,7,11
220,aromatic,7,20,9,11
221,aromatic,8,18,11,11
222,aromatic,14,14,26,11
223,aromatic,14,17,27,11
224,aromatic,16,18,27,11
225,aromatic,18,17,28,11
226,aromatic,19,15,27,11
227,aromatic,17,13,27,11
228,basic,5,20,7,11
229,donor,6,20,12,12
230,donor,4,14,12,12
231,acceptor,7,24,16,12
232,acceptor,5,15,6,12
233,acceptor,4,14,12,12
234,aromatic,11,30,20,12
235,aromatic,8,26,17,12
236,aromatic,11,29,17,12
237,aromatic,9,28,21,12
238,aromatic,10,27,16,12
239,aromatic,8,26,20,12
240,halogen,12,32,22,12
241,basic,6,20,12,12
242,aliphatic_ring,7,24,16,12
