,Molecule_ID,Interaction_ID,Atomnumber,X,Y,Z
0,1,donor,13,4.188,10.298,57.757
1,1,acceptor,2,1.22,9.112,52.765
2,1,acceptor,12,5.012,8.239,57.836
3,1,aromatic,1,3.488,10.017,56.579
4,1,aromatic,3,1.552,7.432,52.347
5,1,aromatic,4,2.633,7.121,51.543
6,1,aromatic,5,2.895,5.804,51.215
7,1,aromatic,6,2.075,4.797,51.693
8,1,aromatic,7,0.994,5.109,52.497
9,1,aromatic,8,0.737,6.426,52.83
10,1,aromatic,14,4.089,10.228,55.345
11,1,aromatic,15,3.395,9.95,54.184
12,1,aromatic,16,2.102,9.464,54.249
13,1,aromatic,17,1.5,9.255,55.476
14,1,aromatic,18,2.191,9.523,56.641
15,1,halogen,9,2.402,3.143,51.28
16,2,donor,3,2.814,8.107,54.024
17,2,donor,16,2.656,9.554,55.85
18,2,donor,17,0.503,8.085,55.334
19,2,acceptor,6,2.696,7.702,50.643
20,2,acceptor,15,4.555,9.514,54.702
21,2,aromatic,1,4.52,10.999,56.504
22,2,aromatic,10,5.65,12.919,58.149
23,2,aromatic,11,5.991,12.873,56.808
24,2,aromatic,12,5.432,11.92,55.983
25,2,aromatic,13,4.179,11.051,57.857
26,2,aromatic,14,4.746,12.01,58.671
27,2,halogen,9,2.962,4.495,53.278
28,2,basic,3,2.814,8.107,54.024
29,2,aliphatic_ring,4,2.216,7.092,53.154
30,2,aliphatic_ring,5,1.461,7.806,52.011
31,2,aliphatic_ring,6,2.696,7.702,50.643
32,2,aliphatic_ring,7,3.462,6.096,51.139
33,2,aliphatic_ring,8,3.314,6.157,52.672
34,3,donor,1,1.757,3.104,50.196
35,3,acceptor,3,3.135,8.181,52.928
36,3,acceptor,4,2.51,8.098,54.459
37,3,acceptor,7,1.447,9.007,56.809
38,3,acceptor,16,0.114,2.7,51.631
39,3,aromatic,2,2.082,4.303,50.841
40,3,aromatic,17,1.473,5.49,50.454
41,3,aromatic,18,1.796,6.67,51.092
42,3,aromatic,19,2.726,6.673,52.116
43,3,aromatic,20,3.335,5.493,52.503
44,3,aromatic,21,3.011,4.307,51.872
45,3,aliphatic_ring,4,2.51,8.098,54.459
46,3,aliphatic_ring,5,1.066,7.925,54.679
47,3,aliphatic_ring,6,0.604,9.013,55.653
48,3,aliphatic_ring,7,1.447,9.007,56.809
49,3,aliphatic_ring,8,2.818,9.313,56.521
50,3,aliphatic_ring,9,3.382,8.191,55.637
51,3,aliphatic_ring,10,4.803,8.513,55.19
52,3,aliphatic_ring,11,4.839,9.853,54.452
53,3,aliphatic_ring,12,4.35,10.953,55.397
54,3,aliphatic_ring,13,2.895,10.667,55.81
55,4,donor,9,2.348,2.35,52.561
56,4,acceptor,2,2.751,8.266,52.559
57,4,acceptor,16,0.049,7.039,50.75
58,4,acceptor,17,-0.509,7.077,52.768
59,4,acceptor,20,2.945,2.242,50.427
60,4,aromatic,1,2.444,3.746,52.561
61,4,aromatic,3,2.337,8.816,54.181
62,4,aromatic,4,1.024,9.105,54.499
63,4,aromatic,5,0.7,9.537,55.771
64,4,aromatic,6,1.689,9.679,56.726
65,4,aromatic,7,3.002,9.39,56.408
66,4,aromatic,8,3.327,8.953,55.137
67,4,aromatic,10,3.646,4.362,52.882
68,4,aromatic,11,3.737,5.741,52.881
69,4,aromatic,12,2.632,6.507,52.56
70,4,aromatic,13,1.432,5.897,52.24
71,4,aromatic,14,1.337,4.52,52.234
72,4,basic,15,0.252,6.722,51.898
73,5,donor,6,1.998,6.485,52.535
74,5,donor,14,2.024,7.521,55.057
75,5,acceptor,3,2.099,3.885,51.537
76,5,acceptor,11,2.196,10.341,53.22
77,5,acceptor,14,2.024,7.521,55.057
78,5,aromatic,1,1.185,0.593,49.157
79,5,aromatic,2,1.792,2.781,50.739
80,5,aromatic,16,1.059,1.871,48.644
81,5,aromatic,17,1.613,0.406,50.459
82,5,aromatic,18,1.917,1.495,51.251
83,5,aromatic,19,1.367,2.965,49.429
84,5,basic,6,1.998,6.485,52.535
85,5,aliphatic_ring,3,2.099,3.885,51.537
86,5,aliphatic_ring,4,1.378,4.129,52.795
87,5,aliphatic_ring,5,0.872,5.577,52.794
88,5,aliphatic_ring,6,1.998,6.485,52.535
89,5,aliphatic_ring,7,2.575,6.253,51.205
90,5,aliphatic_ring,8,3.155,4.831,51.145
91,5,aliphatic_ring,9,1.59,7.887,52.695
92,5,aliphatic_ring,10,2.795,8.817,52.443
93,5,aliphatic_ring,11,2.196,10.341,53.22
94,5,aliphatic_ring,12,1.047,9.64,54.428
95,5,aliphatic_ring,13,1.111,8.135,54.145
96,6,donor,1,3.666,1.651,55.353
97,6,acceptor,8,3.141,2.854,50.745
98,6,acceptor,11,2.981,-0.373,55.95
99,6,acceptor,19,4.175,-0.489,58.305
100,6,aromatic,2,2.946,1.588,54.155
101,6,aromatic,3,1.771,0.852,54.087
102,6,aromatic,4,1.061,0.79,52.903
103,6,aromatic,5,1.518,1.46,51.785
104,6,aromatic,6,2.693,2.196,51.846
105,6,aromatic,7,3.404,2.266,53.034
106,6,aromatic,12,4.165,0.983,62.163
107,6,aromatic,13,4.361,-0.377,62.009
108,6,aromatic,14,4.38,-0.942,60.751
109,6,aromatic,15,4.203,-0.145,59.622
110,6,aromatic,16,4.015,1.222,59.789
111,6,aromatic,17,3.991,1.782,61.047
112,6,aromatic,20,2.725,4.132,50.552
113,6,aromatic,21,2.29,4.561,49.301
114,6,aromatic,22,1.876,5.867,49.146
115,6,aromatic,23,1.89,6.706,50.164
116,6,aromatic,24,2.296,6.338,51.365
117,6,aromatic,25,2.718,5.046,51.603
118,6,basic,23,1.89,6.706,50.164
119,6,aliphatic_ring,9,4.408,0.682,57.504
120,6,aliphatic_ring,18,3.877,1.824,58.404
121,6,aliphatic_ring,19,4.175,-0.489,58.305
122,7,donor,4,0.194,8.573,52.977
123,7,donor,11,2.966,8.763,52.416
124,7,acceptor,4,0.194,8.573,52.977
125,7,acceptor,11,2.966,8.763,52.416
126,7,aromatic,1,1.337,2.762,49.491
127,7,aromatic,5,1.113,8.881,53.984
128,7,aromatic,6,0.656,9.098,55.277
129,7,aromatic,7,1.548,9.404,56.287
130,7,aromatic,8,2.901,9.496,56.013
131,7,aromatic,9,3.364,9.282,54.73
132,7,aromatic,10,2.475,8.974,53.708
133,7,aromatic,13,1.579,2.989,50.832
134,7,aromatic,14,1.59,4.281,51.324
135,7,aromatic,15,1.36,5.347,50.473
136,7,aromatic,16,1.119,5.12,49.131
137,7,aromatic,17,1.106,3.827,48.64
138,7,basic,4,0.194,8.573,52.977
139,7,basic,11,2.966,8.763,52.416
140,7,aliphatic_ring,2,1.373,7.041,51.119
141,7,aliphatic_ring,3,0.114,7.212,52.434
142,7,aliphatic_ring,4,0.194,8.573,52.977
143,7,aliphatic_ring,11,2.966,8.763,52.416
144,7,aliphatic_ring,12,3.009,7.412,51.848
145,8,donor,18,0.103,7.089,52.914
146,8,acceptor,6,2.178,5.203,51.443
147,8,aromatic,1,1.828,3.199,50.07
148,8,aromatic,2,2.291,4.59,50.272
149,8,aromatic,3,2.855,5.318,49.256
150,8,aromatic,4,3.188,6.857,50.097
151,8,aromatic,5,2.593,6.43,51.612
152,8,aromatic,6,2.178,5.203,51.443
153,8,aromatic,8,1.856,0.435,53.218
154,8,aromatic,9,2.296,1.74,53.43
155,8,aromatic,10,2.295,2.653,52.419
156,8,aromatic,11,1.844,2.277,51.145
157,8,aromatic,12,1.395,0.952,50.929
158,8,aromatic,13,1.411,0.036,51.996
159,8,aromatic,14,0.944,0.574,49.652
160,8,aromatic,15,0.94,1.479,48.633
161,8,aromatic,16,1.377,2.784,48.83
162,8,basic,18,0.103,7.089,52.914
163,9,donor,1,3.278,1.559,55.37
