,0,1,2,3,4
0,0,donor,[12],05-3NY9_top500_1,0
1,0,acceptor,"[1, 11]",05-3NY9_top500_1,0
2,0,aromatic,"[0, 2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17]",05-3NY9_top500_1,0
3,0,halogen,[8],05-3NY9_top500_1,0
4,1,donor,"[2, 15, 16]",05-3NY9_top500_2,1
5,1,acceptor,"[5, 14]",05-3NY9_top500_2,1
6,1,aromatic,"[0, 9, 10, 11, 12, 13]",05-3NY9_top500_2,1
7,1,halogen,[8],05-3NY9_top500_2,1
8,1,basic,[2],05-3NY9_top500_2,1
9,1,aliphatic_ring,"[3, 4, 5, 6, 7]",05-3NY9_top500_2,1
10,2,donor,[0],05-3NY9_top500_3,2
11,2,acceptor,"[2, 3, 6, 15]",05-3NY9_top500_3,2
12,2,aromatic,"[1, 16, 17, 18, 19, 20]",05-3NY9_top500_3,2
13,2,aliphatic_ring,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",05-3NY9_top500_3,2
14,3,donor,[8],05-3NY9_top500_4,3
15,3,acceptor,"[1, 15, 16, 19]",05-3NY9_top500_4,3
16,3,aromatic,"[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",05-3NY9_top500_4,3
17,3,basic,[14],05-3NY9_top500_4,3
18,4,donor,"[5, 13]",05-3NY9_top500_5,4
19,4,acceptor,"[2, 10, 13]",05-3NY9_top500_5,4
20,4,aromatic,"[0, 1, 15, 16, 17, 18]",05-3NY9_top500_5,4
21,4,basic,[5],05-3NY9_top500_5,4
22,4,aliphatic_ring,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",05-3NY9_top500_5,4
23,5,donor,[0],05-3NY9_top500_6,5
24,5,acceptor,"[7, 10, 18]",05-3NY9_top500_6,5
25,5,aromatic,"[1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_6,5
26,5,basic,[22],05-3NY9_top500_6,5
27,5,aliphatic_ring,"[8, 17, 18]",05-3NY9_top500_6,5
28,6,donor,"[3, 10]",05-3NY9_top500_7,6
29,6,acceptor,"[3, 10]",05-3NY9_top500_7,6
30,6,aromatic,"[0, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16]",05-3NY9_top500_7,6
31,6,basic,"[3, 10]",05-3NY9_top500_7,6
32,6,aliphatic_ring,"[1, 2, 3, 10, 11]",05-3NY9_top500_7,6
33,7,donor,[17],05-3NY9_top500_8,7
34,7,acceptor,[5],05-3NY9_top500_8,7
35,7,aromatic,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]",05-3NY9_top500_8,7
36,7,basic,[17],05-3NY9_top500_8,7
37,8,donor,[0],05-3NY9_top500_9,11
38,8,acceptor,"[7, 10, 13, 16]",05-3NY9_top500_9,11
39,8,aromatic,"[1, 2, 3, 4, 5, 6, 8, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23]",05-3NY9_top500_9,11
40,8,basic,[21],05-3NY9_top500_9,11
41,9,acceptor,"[4, 11]",05-3NY9_top500_10,12
42,9,aromatic,"[1, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]",05-3NY9_top500_10,12
43,9,aliphatic_ring,"[2, 3, 4, 11]",05-3NY9_top500_10,12
44,10,donor,"[15, 19]",05-3NY9_top500_11,13
45,10,acceptor,"[6, 14, 18, 24]",05-3NY9_top500_11,13
46,10,aromatic,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 20, 21, 22, 23, 24, 25]",05-3NY9_top500_11,13
47,10,basic,[11],05-3NY9_top500_11,13
48,11,donor,"[5, 13]",05-3NY9_top500_12,14
49,11,acceptor,"[2, 10, 13]",05-3NY9_top500_12,14
50,11,aromatic,"[0, 1, 15, 16, 17, 18]",05-3NY9_top500_12,14
51,11,halogen,[14],05-3NY9_top500_12,14
52,11,basic,[5],05-3NY9_top500_12,14
53,11,aliphatic_ring,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",05-3NY9_top500_12,14
54,12,donor,"[6, 16]",05-3NY9_top500_13,15
55,12,acceptor,"[7, 9, 13, 21]",05-3NY9_top500_13,15
56,12,aromatic,"[0, 1, 2, 3, 4, 5, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_13,15
57,12,basic,[16],05-3NY9_top500_13,15
58,12,aliphatic_ring,"[11, 12, 13, 14, 15, 16]",05-3NY9_top500_13,15
59,13,donor,"[0, 7, 13, 16]",05-3NY9_top500_14,16
60,13,acceptor,"[0, 6, 7, 15]",05-3NY9_top500_14,16
61,13,aromatic,"[1, 2, 3, 4, 5, 6, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_14,16
62,13,halogen,[23],05-3NY9_top500_14,16
63,13,basic,"[0, 2, 7]",05-3NY9_top500_14,16
64,14,donor,"[13, 15, 24]",05-3NY9_top500_15,17
65,14,acceptor,"[6, 15, 23]",05-3NY9_top500_15,17
66,14,aromatic,"[0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_15,17
67,14,basic,"[10, 15]",05-3NY9_top500_15,17
68,15,donor,[12],05-3NY9_top500_16,18
69,15,acceptor,"[5, 7, 18, 20, 22]",05-3NY9_top500_16,18
70,15,aromatic,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 18, 19, 20, 21, 22]",05-3NY9_top500_16,18
71,15,basic,"[10, 12]",05-3NY9_top500_16,18
72,15,aliphatic_ring,"[12, 13, 14, 15, 16]",05-3NY9_top500_16,18
73,16,donor,"[0, 23]",05-3NY9_top500_17,19
74,16,acceptor,"[7, 10, 14, 17]",05-3NY9_top500_17,19
75,16,aromatic,"[1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24]",05-3NY9_top500_17,19
76,16,basic,[20],05-3NY9_top500_17,19
77,16,aliphatic_ring,"[8, 12, 13, 15, 16, 17]",05-3NY9_top500_17,19
78,17,donor,"[4, 15]",05-3NY9_top500_18,20
79,17,acceptor,"[1, 12, 16, 21, 24]",05-3NY9_top500_18,20
80,17,aromatic,"[0, 9, 10, 11, 12, 13, 19, 21, 22, 23, 24]",05-3NY9_top500_18,20
81,17,basic,[4],05-3NY9_top500_18,20
82,17,aliphatic_ring,"[1, 2, 3, 4, 5, 6]",05-3NY9_top500_18,20
83,18,donor,"[7, 8, 12, 16]",05-3NY9_top500_19,21
84,18,acceptor,"[7, 9, 16]",05-3NY9_top500_19,21
85,18,aromatic,"[1, 2, 3, 4, 5, 6]",05-3NY9_top500_19,21
86,18,basic,[12],05-3NY9_top500_19,21
87,18,aliphatic_ring,"[11, 13, 14, 15, 17, 18]",05-3NY9_top500_19,21
88,19,donor,"[7, 13]",05-3NY9_top500_20,24
89,19,acceptor,"[6, 16, 20]",05-3NY9_top500_20,24
90,19,aromatic,"[0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23]",05-3NY9_top500_20,24
91,19,basic,[10],05-3NY9_top500_20,24
92,20,donor,[15],05-3NY9_top500_21,25
93,20,acceptor,"[4, 6]",05-3NY9_top500_21,25
94,20,aromatic,"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 14]",05-3NY9_top500_21,25
95,20,halogen,[12],05-3NY9_top500_21,25
96,20,basic,[15],05-3NY9_top500_21,25
97,21,donor,"[0, 7, 13, 16]",05-3NY9_top500_22,29
98,21,acceptor,"[0, 6, 7, 15]",05-3NY9_top500_22,29
99,21,aromatic,"[1, 2, 3, 4, 5, 6, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_22,29
100,21,basic,"[0, 2, 7]",05-3NY9_top500_22,29
101,22,donor,"[13, 17]",05-3NY9_top500_23,30
102,22,acceptor,"[14, 16, 23]",05-3NY9_top500_23,30
103,22,aromatic,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_23,30
104,22,basic,[13],05-3NY9_top500_23,30
105,23,donor,"[9, 15]",05-3NY9_top500_24,31
106,23,acceptor,"[0, 14, 17, 22]",05-3NY9_top500_24,31
107,23,aromatic,"[1, 2, 3, 4, 5, 6, 18, 19, 20, 21, 22, 23]",05-3NY9_top500_24,31
108,23,basic,[9],05-3NY9_top500_24,31
109,23,aliphatic_ring,"[0, 9, 10, 11, 12, 13]",05-3NY9_top500_24,31
110,24,donor,"[13, 17]",05-3NY9_top500_25,32
111,24,acceptor,"[14, 16, 22]",05-3NY9_top500_25,32
112,24,aromatic,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_25,32
113,24,basic,[13],05-3NY9_top500_25,32
114,25,donor,"[0, 7, 13, 16]",05-3NY9_top500_26,33
115,25,acceptor,"[0, 6, 7, 15]",05-3NY9_top500_26,33
116,25,aromatic,"[1, 2, 3, 4, 5, 6, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_26,33
117,25,halogen,[23],05-3NY9_top500_26,33
118,25,basic,"[0, 2, 7]",05-3NY9_top500_26,33
119,26,donor,"[15, 17]",05-3NY9_top500_27,34
120,26,acceptor,"[13, 18]",05-3NY9_top500_27,34
121,26,aromatic,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_27,34
122,26,basic,[15],05-3NY9_top500_27,34
123,27,donor,"[0, 7, 13, 16]",05-3NY9_top500_28,35
124,27,acceptor,"[0, 6, 7, 15]",05-3NY9_top500_28,35
125,27,aromatic,"[1, 2, 3, 4, 5, 6, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_28,35
126,27,basic,"[0, 2, 7]",05-3NY9_top500_28,35
127,28,donor,"[0, 7, 13, 16]",05-3NY9_top500_29,36
128,28,acceptor,"[0, 6, 7, 15]",05-3NY9_top500_29,36
129,28,aromatic,"[1, 2, 3, 4, 5, 6, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_29,36
130,28,halogen,[23],05-3NY9_top500_29,36
131,28,basic,"[0, 2, 7]",05-3NY9_top500_29,36
132,29,donor,"[16, 18]",05-3NY9_top500_30,37
133,29,acceptor,"[5, 12, 17, 23]",05-3NY9_top500_30,37
134,29,aromatic,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 19, 20, 21, 22, 23, 24]",05-3NY9_top500_30,37
135,29,basic,[16],05-3NY9_top500_30,37
136,29,aliphatic_ring,"[12, 13, 14]",05-3NY9_top500_30,37
137,30,donor,"[14, 21]",05-3NY9_top500_31,38
138,30,acceptor,"[4, 8, 16]",05-3NY9_top500_31,38
139,30,aromatic,"[0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13]",05-3NY9_top500_31,38
140,30,basic,[21],05-3NY9_top500_31,38
141,30,aliphatic_ring,"[17, 18, 19, 20, 21]",05-3NY9_top500_31,38
142,31,donor,"[4, 9]",05-3NY9_top500_32,39
143,31,acceptor,"[7, 16, 21]",05-3NY9_top500_32,39
144,31,aromatic,"[1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22]",05-3NY9_top500_32,39
145,31,basic,[1],05-3NY9_top500_32,39
146,32,donor,"[8, 16]",05-3NY9_top500_33,40
147,32,acceptor,"[4, 7, 8, 13, 16]",05-3NY9_top500_33,40
